duration_ran,distance_ran,elevation_gain_ran,runner_id,run_id,pair_id
00:20:16,3.70,0,1,1,1
00:18:13,3.30,0,1,2,1
00:17:32,3.20,0,1,3,1
00:08:38,1.60,0,1,4,1
00:26:37,5.00,0,1,5,1
00:14:34,2.70,0,1,6,1
00:15:45,3.00,0,1,7,2
00:32:37,5.00,30,1,8,2
00:32:37,5.00,30,3,8,7
00:25:11,5.00,0,1,9,2
00:42:21,7.50,0,1,10,2
00:13:49,3.00,0,1,11,2
00:59:15,10.00,25,3,12,7
00:54:57,10.00,0,1,13,2
00:20:37,4.30,25,1,14,2
00:21:14,4.30,23,2,14,6
00:30:00,6.10,0,1,15,2
00:35:02,6.90,47,1,16,2
00:35:20,6.80,43,2,16,6
00:23:34,5.00,0,1,17,2
00:20:00,3.70,0,1,18,2
00:22:57,4.80,30,1,19,2
01:16:58,15.00,0,1,20,2
00:13:52,2.80,20,1,21,2
00:33:02,6.50,34,1,22,2
00:34:50,6.80,36,2,22,6
00:10:00,2.20,0,1,23,2
00:48:40,10.00,0,1,24,2
00:17:02,3.60,0,1,25,2
00:18:00,1.80,0,4,25,8
01:25:03,16.10,108,1,26,2
00:24:27,5.00,0,1,27,2
00:27:49,5.71,52,1,28,2
00:31:58,6.56,41,1,29,2
01:49:57,21.00,0,1,30,2
00:36:01,7.39,62,1,31,2
00:49:19,10.12,67,1,32,2
00:06:44,1.60,0,1,33,2
00:34:27,6.45,65,1,34,2