location_name,city,country,latitude,longitude
South Shell Park,Oakville,Canada,43.376576,-79.718136
Coronation Park,Oakville,Canada,43.409832,-79.692271
PAC Fitness Centre,Waterloo,Canada,43.472632,-80.546179
CIF Fitness Centre,Waterloo,Canada,43.475308,-80.547800
CIF Beach Volleyball Courts,Waterloo,Canada,43.474636,-80.550575
DW Home,Waterloo,Canada,43.451723,-80.562453
Waterloo TnT Supermarket,Waterloo,Canada,43.462576,-80.538084
bbq Chicken Waterloo Central,Waterloo,Canada,43.473058,-80.534422
EC3,Waterloo,Canada,43.476199,-80.542110
CL Home,Kitchener,Canada,43.436296,-80.553888
Resurrection Catholic Secondary School Track,Kitchener,Canada,43.440999,-80.546871